선수명,팀명,포지션,경기수,세트수,득점,공격시도,공격성공,공격성공률,공격효율(%),총연봉(원),총연봉(억),TPC(총공헌점수),가성비(1억당_TPC),세트당_TPC,대체선수_기준점,승리기여도(WAR),가성비(1억당_WAR),순위,시즌코드,시즌명,리그코드,리그명,팀코드,선수코드,등번호,성별,공격피블록,공격범실,세트당공격,오픈공격시도,오픈공격성공,오픈공격피블록,오픈공격범실,세트당오픈공격,오픈공격성공률,시간차공격시도,시간차공격성공,시간차공격피블록,시간차공격범실,세트당시간차공격,시간차공격성공률,이동공격시도,이동공격성공,이동공격피블록,이동공격범실,세트당이동공격,이동공격성공률,후위공격시도,후위공격성공,후위공격피블록,후위공격범실,세트당후위공격,후위공격성공률,속공시도,속공성공,속공피블록,속공범실,세트당속공,속공성공률,퀵오픈공격시도,퀵오픈공격성공,퀵오픈공격피블록,퀵오픈공격범실,세트당퀵오픈공격,퀵오픈공격성공률,서브시도,서브성공,서브범실,세트당서브,서브성공률,블로킹시도,블로킹성공,유효블로킹,블로킹범실,블로킹에러,세트당블로킹,블로킹성공률,블로킹어시스트,디그시도,디그성공,디그실패,디그에러,세트당디그,디그성공률,세트시도,세트성공,세트범실,세트당세트,세트성공률,리시브시도,리시브정확,리시브실패,리시브효율,리시브성공률,경고,기타에러,범실,이단연결,수비,세트당수비
김채연,IBK기업은행,MB,23,39,15,29,9,31.03,6.9,130000000.0,1.3,-5.9,-4.54,-0.15,0.72,-1.7,-1.31,72,022,진에어 2025~2026 V-리그,201,정규리그,2006,0001966,12,2,3,4,31.03,14,3,2,2,21.43,0.59,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,15,6,1,2,40.0,4.25,0,0,0,0,0.0,0.0,36,0,5,0.0,1.16,62,6,20,27,2,0.15,2.39,1,13,9,4,0,0.23,0.35,15,4,0,0.1,0.28,3,0,1,0.0,0.11,0,11,0,0,9,0.21
이예은,한국도로공사,L,36,119,13,0,0,0.0,0.0,50000000.0,0.5,8.2,16.4,0.07,0.07,0.01,0.02,74,022,진에어 2025~2026 V-리그,201,정규리그,2002,1000210,21,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,224,13,12,0.11,7.04,0,0,0,0,0,0.0,0.0,0,39,33,6,0,0.28,1.17,11,3,0,0.03,0.21,2,0,0,0.0,0.07,0,12,0,0,33,0.28
신은지,정관장,MB,35,96,13,12,3,25.0,-8.33,65000000.0,0.65,1.7,2.62,0.02,0.72,-3.37,-5.18,74,022,진에어 2025~2026 V-리그,201,정규리그,2003,1000313,16,2,2,2,25.0,7,2,1,1,28.57,0.29,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,0,0,1,0.0,0.33,0,0,0,0,0.0,0.0,4,1,1,0,25.0,0.27,134,9,10,0.09,4.74,8,1,2,4,0,0.01,0.35,0,19,15,4,0,0.16,0.58,12,6,0,0.06,0.24,0,0,0,0.0,0.0,0,12,0,0,15,0.16
이채영,현대건설,OH,11,18,12,32,10,31.25,3.12,45000000.0,0.45,5.2,11.56,0.29,0.63,-0.3,-0.67,76,022,진에어 2025~2026 V-리그,201,정규리그,2001,1000546,2,2,5,4,31.25,13,4,0,1,30.77,0.63,1,0,1,0,0.0,0.88,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,18,6,4,3,33.33,0.88,17,2,2,0.11,0.53,9,0,2,4,0,0.0,0.36,3,19,13,6,0,0.72,0.51,4,0,0,0.0,0.07,46,22,3,41.3,1.61,0,6,0,0,35,1.78
송은채,한국도로공사,OH,3,5,11,27,10,37.04,22.22,43000000.0,0.43,7.3,16.98,1.46,0.63,0.21,0.49,77,022,진에어 2025~2026 V-리그,201,정규리그,2002,1000448,15,2,1,3,37.04,13,2,1,2,15.38,0.6,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,14,8,0,1,57.14,0.87,13,1,1,0.2,0.41,1,0,1,0,0,0.0,0.04,1,14,12,2,0,2.4,0.42,2,0,0,0.0,0.04,26,3,2,3.85,0.91,0,4,0,0,15,2.6
박수연,흥국생명,L,36,117,11,0,0,0.0,0.0,63000000.0,0.63,49.4,78.41,0.42,0.07,2.08,3.3,77,022,진에어 2025~2026 V-리그,201,정규리그,2004,1000117,20,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,141,11,11,0.09,4.52,0,0,0,0,0,0.0,0.0,0,197,155,41,1,1.32,5.78,118,43,0,0.37,2.28,290,96,19,26.55,10.14,0,12,0,0,251,1.98
한미르,현대건설,L,36,94,9,0,0,0.0,0.0,65000000.0,0.65,6.2,9.54,0.07,0.07,-0.01,-0.01,79,022,진에어 2025~2026 V-리그,201,정규리그,2001,1000056,18,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,147,9,8,0.1,4.56,0,0,0,0,0,0.0,0.0,0,26,21,5,0,0.22,0.7,14,5,0,0.05,0.26,0,0,0,0.0,0.0,0,8,0,0,21,0.22
박수빈,페퍼저축은행,S,17,34,9,5,1,20.0,20.0,50000000.0,0.5,42.3,84.6,1.24,1.17,0.12,0.25,79,022,진에어 2025~2026 V-리그,201,정규리그,2007,1000300,15,2,0,0,20.0,5,1,0,0,20.0,0.26,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,64,4,5,0.12,2.13,39,4,10,11,1,0.12,1.67,7,44,33,11,0,0.97,1.36,447,176,0,5.18,9.02,1,0,0,0.0,0.04,0,6,0,0,33,0.97
이수연,현대건설,S,28,64,7,9,2,22.22,0.0,30000000.0,0.3,32.7,109.0,0.51,1.17,-2.11,-7.04,81,022,진에어 2025~2026 V-리그,201,정규리그,2001,1000446,19,2,0,2,22.22,9,2,0,2,22.22,0.43,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,61,1,5,0.02,1.89,28,4,6,11,1,0.06,1.12,4,61,46,15,0,0.72,1.63,489,175,8,2.73,8.92,0,0,0,0.0,0.0,0,16,0,0,46,0.72
전다빈,정관장,OH,8,8,7,24,7,29.17,-4.17,60000000.0,0.6,-5.3,-8.83,-0.66,0.63,-0.52,-0.86,81,022,진에어 2025~2026 V-리그,201,정규리그,2003,1000458,4,2,5,3,29.17,11,3,2,3,27.27,0.46,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,13,4,3,0,30.77,0.89,9,0,2,0.0,0.32,7,0,2,4,0,0.0,0.31,2,19,12,7,0,1.5,0.58,3,1,0,0.13,0.06,39,7,5,5.13,1.39,0,5,0,0,19,1.75
