선수명,팀명,포지션,경기수,세트수,득점,공격시도,공격성공,공격성공률,공격효율(%),총연봉(원),총연봉(억),TPC(총공헌점수),가성비(1억당_TPC),세트당_TPC,대체선수_기준점,승리기여도(WAR),가성비(1억당_WAR),순위,시즌코드,시즌명,리그코드,리그명,팀코드,선수코드,등번호,성별,공격피블록,공격범실,세트당공격,오픈공격시도,오픈공격성공,오픈공격피블록,오픈공격범실,세트당오픈공격,오픈공격성공률,시간차공격시도,시간차공격성공,시간차공격피블록,시간차공격범실,세트당시간차공격,시간차공격성공률,이동공격시도,이동공격성공,이동공격피블록,이동공격범실,세트당이동공격,이동공격성공률,후위공격시도,후위공격성공,후위공격피블록,후위공격범실,세트당후위공격,후위공격성공률,속공시도,속공성공,속공피블록,속공범실,세트당속공,속공성공률,퀵오픈공격시도,퀵오픈공격성공,퀵오픈공격피블록,퀵오픈공격범실,세트당퀵오픈공격,퀵오픈공격성공률,서브시도,서브성공,서브범실,세트당서브,서브성공률,블로킹시도,블로킹성공,유효블로킹,블로킹범실,블로킹에러,세트당블로킹,블로킹성공률,블로킹어시스트,디그시도,디그성공,디그실패,디그에러,세트당디그,디그성공률,세트시도,세트성공,세트범실,세트당세트,세트성공률,리시브시도,리시브정확,리시브실패,리시브효율,리시브성공률,경고,기타에러,범실,이단연결,수비,세트당수비
염혜선,정관장,S,16,37,4,9,1,11.11,11.11,450000000.0,4.5,47.5,10.56,1.28,1.17,0.21,0.05,90,022,진에어 2025~2026 V-리그,201,정규리그,2003,0000829,3,2,0,0,11.11,9,1,0,0,11.11,0.37,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,104,3,6,0.08,3.68,30,0,15,9,0,0.0,1.31,3,80,59,21,0,1.59,2.46,680,231,4,6.24,13.45,0,0,0,0.0,0.0,0,10,0,0,59,1.59
안예림,정관장,S,27,57,4,2,1,50.0,50.0,73000000.0,0.73,9.2,12.6,0.16,1.17,-2.88,-3.94,90,022,진에어 2025~2026 V-리그,201,정규리그,2003,0002221,21,2,0,0,50.0,2,1,0,0,50.0,0.08,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,3,0,0,0.0,0.11,17,3,5,5,1,0.05,0.74,4,7,4,3,0,0.07,0.22,98,32,1,0.56,1.94,0,0,0,0.0,0.0,0,2,0,0,4,0.07
김주향,GS칼텍스,OH,6,6,4,12,4,33.33,16.67,250000000.0,2.5,5.0,2.0,0.83,0.63,0.06,0.02,90,022,진에어 2025~2026 V-리그,201,정규리그,2005,0001980,11,2,1,1,33.33,3,1,0,0,33.33,0.19,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,9,3,1,1,33.33,0.45,5,0,0,0.0,0.16,1,0,0,1,0,0.0,0.05,0,7,7,0,0,1.17,0.22,3,0,0,0.0,0.06,18,7,0,38.89,0.64,0,1,0,0,14,2.33
김채나,정관장,S,6,10,3,0,0,0.0,0.0,83000000.0,0.83,12.7,15.3,1.27,1.17,0.05,0.06,96,022,진에어 2025~2026 V-리그,201,정규리그,2003,0001568,14,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,20,2,2,0.2,0.71,7,1,2,2,0,0.1,0.31,1,16,14,2,0,1.4,0.49,149,57,2,5.7,2.95,0,0,0,0.0,0.0,0,4,0,0,14,1.4
편지수,흥국생명,OP,4,4,3,5,3,60.0,60.0,,,2.7,,0.68,2.14,-0.29,,96,022,진에어 2025~2026 V-리그,201,정규리그,2004,0001687,9,2,0,0,60.0,1,1,0,0,100.0,0.05,0,0,0,0,0.0,0.0,1,0,0,0,0.0,0.57,0,0,0,0,0.0,0.0,3,2,0,0,66.67,0.61,0,0,0,0,0.0,0.0,4,0,0,0.0,0.13,1,0,0,1,0,0.0,0.04,2,1,1,0,0,0.25,0.03,2,0,0,0.0,0.04,0,0,0,0.0,0.0,0,0,0,0,1,0.25
이윤신,GS칼텍스,S,5,5,3,3,1,33.33,0.0,55000000.0,0.55,5.2,9.45,1.04,1.17,-0.03,-0.06,96,022,진에어 2025~2026 V-리그,201,정규리그,2005,1000304,3,2,1,0,33.33,3,1,1,0,33.33,0.19,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,10,1,0,0.2,0.32,7,1,3,3,0,0.2,0.32,0,6,3,3,0,0.6,0.19,59,23,1,4.6,1.17,0,0,0,0.0,0.0,0,1,0,0,3,0.6
김사랑,현대건설,S,2,4,2,0,0,0.0,0.0,50000000.0,0.5,2.8,5.6,0.7,1.17,-0.09,-0.19,99,022,진에어 2025~2026 V-리그,201,정규리그,2001,1000214,6,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,12,2,1,0.5,0.37,7,0,4,2,0,0.0,0.28,2,4,4,0,0,1.0,0.11,53,15,1,3.75,0.97,0,0,0,0.0,0.0,0,2,0,0,4,1.0
유가람,GS칼텍스,L,30,98,2,0,0,0.0,0.0,55000000.0,0.55,41.0,74.55,0.42,0.07,1.72,3.13,99,022,진에어 2025~2026 V-리그,201,정규리그,2005,1000305,20,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,90,2,6,0.02,2.88,0,0,0,0,0,0.0,0.0,0,190,151,39,0,1.54,5.95,100,22,2,0.22,1.98,146,58,5,36.3,5.17,0,8,0,0,209,2.08
김채원,IBK기업은행,L,35,116,2,0,0,0.0,0.0,100000000.0,1.0,74.6,74.6,0.64,0.07,3.34,3.34,101,022,진에어 2025~2026 V-리그,201,정규리그,2006,0001703,14,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,19,2,0,0.02,0.61,0,0,0,0,0,0.0,0.0,0,287,248,39,0,2.14,7.75,169,59,1,0.51,3.1,214,74,10,29.91,7.56,0,1,0,0,322,2.69
남은서,IBK기업은행,L,8,17,2,0,0,0.0,0.0,40000000.0,0.4,3.1,7.75,0.18,0.07,0.1,0.24,101,022,진에어 2025~2026 V-리그,201,정규리그,2006,1000453,4,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,24,2,2,0.12,0.77,0,0,0,0,0,0.0,0.0,0,24,23,1,0,1.35,0.65,1,0,0,0.0,0.02,22,5,3,9.09,0.78,0,2,0,0,28,1.47
강유정,IBK기업은행,OH,6,9,2,0,0,0.0,0.0,38000000.0,0.38,-1.0,-2.63,-0.11,0.63,-0.33,-0.87,101,022,진에어 2025~2026 V-리그,201,정규리그,2006,1000553,18,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,13,2,3,0.22,0.42,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,3,0,0,0,0.0
김서영,페퍼저축은행,MB,6,9,2,11,1,9.09,-9.09,52000000.0,0.52,-2.2,-4.23,-0.24,0.72,-0.43,-0.83,101,022,진에어 2025~2026 V-리그,201,정규리그,2007,1000558,18,2,2,0,9.09,4,0,2,0,0.0,0.21,0,0,0,0,0.0,0.0,2,0,0,0,0.0,1.0,0,0,0,0,0.0,0.0,5,1,0,0,20.0,1.47,0,0,0,0,0.0,0.0,15,1,1,0.11,0.5,14,0,9,4,1,0.0,0.6,3,4,4,0,0,0.44,0.12,3,0,0,0.0,0.06,0,0,0,0.0,0.0,0,2,0,0,4,0.44
정솔민,페퍼저축은행,L,14,31,2,0,0,0.0,0.0,47000000.0,0.47,9.2,19.57,0.3,0.07,0.36,0.76,101,022,진에어 2025~2026 V-리그,201,정규리그,2007,1000559,24,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,17,2,1,0.06,0.57,0,0,0,0,0,0.0,0.0,0,39,32,7,0,1.03,1.2,15,2,0,0.06,0.3,49,8,1,14.29,1.75,0,1,0,0,40,1.26
김수현,현대건설,MB,1,3,1,4,0,0.0,-25.0,35000000.0,0.35,-2.6,-7.43,-0.87,0.72,-0.24,-0.68,106,022,진에어 2025~2026 V-리그,201,정규리그,2001,1000547,17,2,0,1,0.0,1,0,0,0,0.0,0.05,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,3,0,0,1,0.0,0.73,0,0,0,0,0.0,0.0,5,0,0,0.0,0.16,8,1,3,3,0,0.33,0.32,1,3,2,1,0,0.67,0.08,1,0,0,0.0,0.02,3,0,2,0.0,0.11,0,1,0,0,2,0.0
이호빈,정관장,MB,2,2,1,5,1,20.0,0.0,50000000.0,0.5,-0.3,-0.6,-0.15,0.72,-0.09,-0.17,106,022,진에어 2025~2026 V-리그,201,정규리그,2003,0001852,12,2,1,0,20.0,2,0,1,0,0.0,0.08,0,0,0,0,0.0,0.0,1,0,0,0,0.0,0.55,0,0,0,0,0.0,0.0,2,1,0,0,50.0,0.46,0,0,0,0,0.0,0.0,2,0,0,0.0,0.07,2,0,1,1,0,0.0,0.09,0,1,1,0,0,0.5,0.03,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,1,0.5
정수지,정관장,L,9,12,1,0,0,0.0,0.0,40000000.0,0.4,0.0,0.0,0.0,0.07,-0.04,-0.1,106,022,진에어 2025~2026 V-리그,201,정규리그,2003,1000308,13,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,15,1,1,0.08,0.53,0,0,0,0,0,0.0,0.0,0,1,0,1,0,0.0,0.03,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,1,0,0,0,0.0
우수민,GS칼텍스,L,20,39,1,0,0,0.0,0.0,75000000.0,0.75,1.8,2.4,0.05,0.07,-0.04,-0.05,106,022,진에어 2025~2026 V-리그,201,정규리그,2005,0001974,15,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,56,1,2,0.03,1.79,0,0,0,0,0,0.0,0.0,0,11,11,0,0,0.28,0.34,3,0,0,0.0,0.06,5,2,0,40.0,0.18,0,2,0,0,13,0.33
서채원,GS칼텍스,L,4,6,1,1,0,0.0,0.0,75000000.0,0.75,0.7,0.93,0.12,0.07,0.01,0.02,106,022,진에어 2025~2026 V-리그,201,정규리그,2005,1000132,4,2,0,0,0.0,1,0,0,0,0.0,0.06,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,10,0,0,0.0,0.32,6,1,3,2,0,0.17,0.27,2,1,1,0,0,0.17,0.03,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,1,0.17
박연화,페퍼저축은행,L,27,43,1,0,0,0.0,0.0,48000000.0,0.48,-1.8,-3.75,-0.04,0.07,-0.23,-0.49,106,022,진에어 2025~2026 V-리그,201,정규리그,2007,1000135,8,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,63,1,5,0.02,2.1,0,0,0,0,0,0.0,0.0,0,9,9,0,0,0.21,0.28,3,2,0,0.05,0.06,0,0,0,0.0,0.0,0,5,0,0,9,0.21
김연견,현대건설,L,35,138,0,1,0,0.0,-100.0,400000000.0,4.0,192.1,48.03,1.39,0.07,9.14,2.29,112,022,진에어 2025~2026 V-리그,201,정규리그,2001,0001267,8,2,0,1,0.0,1,0,0,1,0.0,0.05,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,787,681,105,1,4.93,21.09,432,101,0,0.73,7.88,513,209,26,35.67,18.01,0,2,0,0,890,6.26
이영주,현대건설,L,23,54,0,0,0,0.0,0.0,65000000.0,0.65,16.0,24.62,0.3,0.07,0.62,0.95,112,022,진에어 2025~2026 V-리그,201,정규리그,2001,0001982,5,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,61,0,6,0.0,1.89,0,0,0,0,0,0.0,0.0,0,60,52,8,0,0.96,1.61,38,11,0,0.2,0.69,82,38,2,43.9,2.88,0,6,0,0,90,1.63
조보윤,현대건설,OP,1,3,0,0,0,0.0,0.0,30000000.0,0.3,-2.0,-6.67,-0.67,2.14,-0.42,-1.4,112,022,진에어 2025~2026 V-리그,201,정규리그,2001,1000548,16,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,3,0,2,0.0,0.09,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,2,0,0,0,0.0
문정원,한국도로공사,L,36,141,0,0,0,0.0,0.0,250000000.0,2.5,241.4,96.56,1.71,0.07,11.6,4.64,112,022,진에어 2025~2026 V-리그,201,정규리그,2002,0001271,12,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,811,697,114,0,4.94,24.27,400,99,2,0.7,7.59,688,364,25,49.27,24.11,0,2,0,0,1061,7.35
김미진,한국도로공사,L,1,1,0,0,0,0.0,0.0,35000000.0,0.35,0.4,1.14,0.4,0.07,0.02,0.05,112,022,진에어 2025~2026 V-리그,201,정규리그,2002,1000314,23,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,3,2,1,0,2.0,0.09,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,2,2.0
손혜진,한국도로공사,L,3,5,0,0,0,0.0,0.0,30000000.0,0.3,0.0,0.0,0.0,0.07,-0.02,-0.06,112,022,진에어 2025~2026 V-리그,201,정규리그,2002,1000459,7,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,6,0,0,0.0,0.19,0,0,0,0,0,0.0,0.0,0,1,0,1,0,0.0,0.03,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0
박윤서,한국도로공사,OH,1,1,0,0,0,0.0,0.0,35000000.0,0.35,0.0,0.0,0.0,0.63,-0.03,-0.09,112,022,진에어 2025~2026 V-리그,201,정규리그,2002,1000545,1,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,0,0,0.0,0.03,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0
노란,정관장,L,36,131,0,0,0,0.0,0.0,200000000.0,2.0,163.3,81.65,1.25,0.07,7.73,3.86,112,022,진에어 2025~2026 V-리그,201,정규리그,2003,0001407,5,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,733,642,90,1,4.9,22.54,269,58,0,0.44,5.32,534,191,34,29.4,19.06,0,1,0,0,833,6.1
최효서,정관장,L,19,37,0,0,0,0.0,0.0,60000000.0,0.6,8.0,13.33,0.22,0.07,0.28,0.46,112,022,진에어 2025~2026 V-리그,201,정규리그,2003,1000218,20,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,4,0,0,0.0,0.14,0,0,0,0,0,0.0,0.0,0,48,37,10,1,1.0,1.48,27,8,0,0.22,0.53,68,20,7,19.12,2.43,0,1,0,0,57,1.35
신연경,흥국생명,L,31,116,0,0,0,0.0,0.0,300000000.0,3.0,70.3,23.43,0.61,0.07,3.13,1.04,112,022,진에어 2025~2026 V-리그,201,정규리그,2004,0001406,3,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,366,289,77,0,2.49,10.74,157,40,1,0.34,3.04,65,25,2,35.38,2.27,0,1,0,0,314,2.69
도수빈,흥국생명,L,34,121,0,1,0,0.0,-100.0,100000000.0,1.0,99.5,99.5,0.82,0.07,4.57,4.57,112,022,진에어 2025~2026 V-리그,201,정규리그,2004,0001854,8,2,0,1,0.0,1,0,0,1,0.0,0.05,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,5,0,0,0.0,0.16,0,0,0,0,0,0.0,0.0,0,265,229,35,1,1.89,7.77,151,51,0,0.42,2.92,596,235,26,35.07,20.84,0,2,0,0,464,3.62
이주현1,흥국생명,SUB,36,143,0,0,0,0.0,0.0,38000000.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,112,022,진에어 2025~2026 V-리그,201,정규리그,2004,0001918,106,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0
임혜림,흥국생명,SUB,0,0,0,0,0,0.0,0.0,60000000.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,112,022,진에어 2025~2026 V-리그,201,정규리그,2004,1000203,21,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0
한수진,GS칼텍스,L,31,119,0,0,0,0.0,0.0,150000000.0,1.5,152.3,101.53,1.28,0.07,7.22,4.81,112,022,진에어 2025~2026 V-리그,201,정규리그,2005,0001964,47,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,608,515,92,1,4.33,19.04,326,91,1,0.76,6.46,444,187,24,36.71,15.72,0,2,0,0,702,5.7
이주아2,GS칼텍스,SUB,0,0,0,0,0,0.0,0.0,55000000.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,112,022,진에어 2025~2026 V-리그,201,정규리그,2005,1000441,12,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0
최윤영,GS칼텍스,S,1,1,0,0,0,0.0,0.0,50000000.0,0.5,0.0,0.0,0.0,1.17,-0.06,-0.12,112,022,진에어 2025~2026 V-리그,201,정규리그,2005,1000550,6,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,0,0,0.0,0.06,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0
임명옥,IBK기업은행,L,26,99,0,2,0,0.0,-100.0,150000000.0,1.5,175.2,116.8,1.77,0.07,8.43,5.62,112,022,진에어 2025~2026 V-리그,201,정규리그,2006,0000405,8,2,0,2,0.0,1,0,0,1,0.0,0.04,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,0,0,1,0.0,0.2,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,672,589,82,1,5.95,18.16,369,117,1,1.18,6.77,422,220,29,45.26,14.92,0,4,0,0,809,7.88
하예지,IBK기업은행,MB,1,1,0,0,0,0.0,0.0,48000000.0,0.48,0.0,0.0,0.0,0.72,-0.04,-0.07,112,022,진에어 2025~2026 V-리그,201,정규리그,2006,1000552,21,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,0,0,0.0,0.03,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0
정아림,IBK기업은행,MB,0,0,0,0,0,0.0,0.0,30000000.0,0.3,0.0,0.0,0.0,0.72,-0.0,-0.0,112,022,진에어 2025~2026 V-리그,201,정규리그,2006,1000554,6,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0
한다혜,페퍼저축은행,L,36,136,0,0,0,0.0,0.0,290000000.0,2.9,200.6,69.17,1.48,0.07,9.57,3.3,112,022,진에어 2025~2026 V-리그,201,정규리그,2007,0001494,4,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,720,609,109,2,4.48,22.23,402,129,1,0.95,8.11,716,290,33,35.89,25.57,0,3,0,0,899,6.37
전하리,페퍼저축은행,L,23,38,0,0,0,0.0,0.0,45000000.0,0.45,0.3,0.67,0.01,0.07,-0.11,-0.25,112,022,진에어 2025~2026 V-리그,201,정규리그,2007,0002219,20,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,15,0,1,0.0,0.5,0,0,0,0,0,0.0,0.0,0,22,17,5,0,0.45,0.68,4,0,0,0.0,0.08,44,13,6,15.91,1.57,0,1,0,0,30,0.63
이주현2,페퍼저축은행,SUB,0,0,0,0,0,0.0,0.0,38000000.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,112,022,진에어 2025~2026 V-리그,201,정규리그,2007,1000301,2,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0
오은채,페퍼저축은행,MB,0,0,0,0,0,0.0,0.0,30000000.0,0.3,0.0,0.0,0.0,0.72,-0.0,-0.0,112,022,진에어 2025~2026 V-리그,201,정규리그,2007,1000560,1,2,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0
